Id,UserId,MessageContent,Time,Sender,MessageId
b79bbf7c-6e8b-4356-929b-026c8277e390,9c86307b-8354-4575-86e7-89258e57881e,ICICI Bank Acct XX789 debited for Rs 80.00 on 26-Dec-25; AWFIS credited. UPI:590283159319. Call 18002662 for dispute. SMS BLOCK 789 to 9215676766.,2025-12-26 11:44:18+00,AX-ICICIT-S,cc53375a-447d-4b42-a819-7e1c9f6db10b
ec6680c2-6aa9-4675-8ac2-7cd1f4820a76,9c86307b-8354-4575-86e7-89258e57881e,ICICI Bank Acct XX789 debited for Rs 306.21 on 26-Dec-25; ZOMATO credited. UPI:989788759216. Call 18002662 for dispute. SMS BLOCK 789 to 9215676766.,2025-12-26 15:24:11+00,AX-ICICIT-S,3cab480f-410f-4482-a685-afb1db248290
e9fb8ada-2666-401e-b7be-152c9a9c7fdd,9c86307b-8354-4575-86e7-89258e57881e,A/c *0186 Credited for Rs:5000.00 on 26-12-2025 21:11:28 by Mob Bk ref no 696279687099 Avl Bal Rs:5818.22.Never Share OTP/PIN/CVV-Union Bank of India,2025-12-26 15:41:35+00,JD-UNIONB-S,c82bf5ba-4931-4fd3-b711-ff40c1a36c1c
80da7ab7-8b35-4132-8e33-11a22f124dbf,9c86307b-8354-4575-86e7-89258e57881e,"A/c *0186 Debited for Rs:600.00 on 28-12-2025 20:31:18 by Mob Bk ref no 437991271333 Avl Bal Rs:5173.95.If not you, Call 1800222243 -Union Bank of India",2025-12-28 15:01:24+00,JD-UNIONB-S,f645a1aa-386c-4872-a25b-569469cabcb7
d290bf24-3959-4cb8-95ab-2b1309b3955c,9c86307b-8354-4575-86e7-89258e57881e,ICICI Bank Acct XX789 debited for Rs 80.00 on 28-Dec-25; MRS GEDDA RAMA  credited. UPI:771066172463. Call 18002662 for dispute. SMS BLOCK 789 to 9215676766.,2025-12-28 15:21:45+00,AX-ICICIT-S,58f58044-fe67-44f6-9465-23d9938727c4
c259f9e7-7d13-4b56-9da4-6a7035b35223,9c86307b-8354-4575-86e7-89258e57881e,ICICI Bank Acct XX789 debited for Rs 100.00 on 28-Dec-25; VITHAL credited. UPI:060999401997. Call 18002662 for dispute. SMS BLOCK 789 to 9215676766.,2025-12-28 15:28:05+00,AX-ICICIT-S,c1638845-7d75-4102-aef6-ed9830215047
0552b827-86eb-4a57-8587-ddf5fe6e483d,9c86307b-8354-4575-86e7-89258e57881e,ICICI Bank Acct XX789 debited for Rs 60.00 on 28-Dec-25; DANAIAH VIROTHI credited. UPI:352712452786. Call 18002662 for dispute. SMS BLOCK 789 to 9215676766.,2025-12-28 15:52:25+00,AX-ICICIT-S,ff2a37ec-bfec-40fb-8531-7ed9332815e8
9f29878c-c58a-47d4-a96f-add2e8bf44db,9c86307b-8354-4575-86e7-89258e57881e,ICICI Bank Acct XX789 debited for Rs 135.00 on 28-Dec-25; BALAJI JODHPUR  credited. UPI:868230317477. Call 18002662 for dispute. SMS BLOCK 789 to 9215676766.,2025-12-28 15:59:16+00,AX-ICICIT-S,337184e0-d80e-42d3-8f5e-e012e9108ed5
2bd65bda-0703-40bf-a82c-aa068f6d6a5e,9c86307b-8354-4575-86e7-89258e57881e,ICICI Bank Acct XX789 debited for Rs 91.00 on 28-Dec-25; RAJESH REDDY MU credited. UPI:207112636450. Call 18002662 for dispute. SMS BLOCK 789 to 9215676766.,2025-12-28 16:02:02+00,AX-ICICIT-S,d9293481-0c13-4a3c-a9ef-7ffca84b7692
35693954-adce-4af9-926a-e5875e414d17,9c86307b-8354-4575-86e7-89258e57881e,ICICI Bank Acct XX789 debited for Rs 100.00 on 29-Dec-25; AWFIS credited. UPI:412523879229. Call 18002662 for dispute. SMS BLOCK 789 to 9215676766.,2025-12-29 11:14:32+00,AD-ICICIT-S,a2b4b99c-f222-47f0-ba09-4a9f249e2ebf
